2024-06-10 11:21:36,489.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,489.nutrition_producer.INFO Today is 2024-06-10 at 11:21 AM
2024-06-10 11:21:36,489.nutrition_producer.INFO Running on: nt Windows 10
2024-06-10 11:21:36,490.nutrition_producer.INFO Python version:  3.11.9
2024-06-10 11:21:36,490.nutrition_producer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0
2024-06-10 11:21:36,490.nutrition_producer.INFO Working dir: C:\Users\bambe\OneDrive\Documents\NMSU\44671_StreamingData\Module_7\44671_streaming-07-final-project
2024-06-10 11:21:36,490.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,524.nutrition_producer.INFO Queue 'Protein (g)' declared.
2024-06-10 11:21:36,542.nutrition_producer.INFO Queue 'Fat (g)' declared.
2024-06-10 11:21:36,558.nutrition_producer.INFO Queue 'Carbohydrates (g)' declared.
2024-06-10 11:21:36,572.nutrition_producer.INFO Queue 'Sodium (mg)' declared.
2024-06-10 11:21:36,588.nutrition_producer.INFO Queue 'Fiber' declared.
2024-06-10 11:21:37,490.nutrition_producer.INFO  [x] Sent 'Date: 1/24/2023, Fiber: 30.900000000000002' to queue 'Fiber'.
2024-06-10 11:21:37,495.nutrition_producer.INFO  [x] Sent 'Date: 1/25/2023, Protein (g): 164.4' to queue 'Protein (g)'.
2024-06-10 11:21:37,505.nutrition_producer.INFO  [x] Sent 'Date: 1/25/2023, Fat (g): 63.900000000000006' to queue 'Fat (g)'.
2024-06-10 11:21:37,511.nutrition_producer.INFO  [x] Sent 'Date: 1/25/2023, Carbohydrates (g): 375.69999999999993' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,519.nutrition_producer.INFO  [x] Sent 'Date: 1/25/2023, Sodium (mg): 4094.4' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,524.nutrition_producer.INFO  [x] Sent 'Date: 1/25/2023, Fiber: 30.900000000000002' to queue 'Fiber'.
2024-06-10 11:21:37,530.nutrition_producer.INFO  [x] Sent 'Date: 1/26/2023, Protein (g): 165.0' to queue 'Protein (g)'.
2024-06-10 11:21:37,540.nutrition_producer.INFO  [x] Sent 'Date: 1/26/2023, Fat (g): 64.10000000000001' to queue 'Fat (g)'.
2024-06-10 11:21:37,545.nutrition_producer.INFO  [x] Sent 'Date: 1/26/2023, Carbohydrates (g): 374.6' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,559.nutrition_producer.INFO  [x] Sent 'Date: 1/26/2023, Sodium (mg): 4596.1' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,566.nutrition_producer.INFO  [x] Sent 'Date: 1/26/2023, Fiber: 35.199999999999996' to queue 'Fiber'.
2024-06-10 11:21:37,574.nutrition_producer.INFO  [x] Sent 'Date: 1/27/2023, Protein (g): 164.70000000000002' to queue 'Protein (g)'.
2024-06-10 11:21:37,579.nutrition_producer.INFO  [x] Sent 'Date: 1/27/2023, Fat (g): 65.5' to queue 'Fat (g)'.
2024-06-10 11:21:37,588.nutrition_producer.INFO  [x] Sent 'Date: 1/27/2023, Carbohydrates (g): 374.79999999999995' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:37,593.nutrition_producer.INFO  [x] Sent 'Date: 1/27/2023, Sodium (mg): 4120.1' to queue 'Sodium (mg)'.
2024-06-10 11:21:37,601.nutrition_producer.INFO  [x] Sent 'Date: 1/27/2023, Fiber: 44.8' to queue 'Fiber'.
2024-06-10 11:21:37,607.nutrition_producer.INFO  [x] Sent 'Date: 1/28/2023, Protein (g): 165.5' to queue 'Protein (g)'.
2024-06-10 11:21:37,613.nutrition_producer.INFO  [x] Sent 'Date: 1/28/2023, Fat (g): 65.39999999999999' to queue 'Fat (g)'.
